table_slot	layout_id	layout_name	version	width	height	logical_bytes	padded_grid_tiles	padded_grid_bytes	source	source_path	source_sha256	source_crc32	raw_file_bytes	trailing_bytes	lz_stream_bytes	lz_stream_sha256	lz_stream_crc32	lz_decode_consumed_bytes	lz_padding_bytes	storage	stored_bytes	aligned_storage_bytes	interrecord_alignment_bytes	compressed_stream_artifact	special_raw_exception_candidate
270	LAYOUT_BATTLE_FRONTIER_BATTLE_TOWER_BATTLE_ROOM	BattleFrontier_BattleTowerBattleRoom_Layout	emerald	10	9	180	575	1150	data/layouts/BattleFrontier_BattleTowerBattleRoom/map.bin	data/layouts/BattleFrontier_BattleTowerBattleRoom/map.bin	31f606c9f6d611d96fae041d1e719c91e242eb7f4227e2bfe2f2dac6b2789dd2	113d81c4	180	0	140	3d6e2cc721f79abb4585fb2a0c5bddcf6f97d6cff956911ac0d25fb6d1db7cc9	d6a58290	138	2	gba_lz77	140	140	0	streams/0270-LAYOUT_BATTLE_FRONTIER_BATTLE_TOWER_BATTLE_ROOM.lz	
271	LAYOUT_RUSTBORO_CITY_DEVON_CORP_3F	RustboroCity_DevonCorp_3F_Layout	emerald	19	9	342	782	1564	data/layouts/RustboroCity_DevonCorp_3F/map.bin	data/layouts/RustboroCity_DevonCorp_3F/map.bin	9805c919da40c085f1347a6b5f22ea3f928d3801204c7fe2aa0a63c4e46b2129	b35aad4b	342	0	176	0220dfba62f8abcf4068e6c24d8a42f26ec01668eed13a2fd4a76f884771fad9	63072793	176	0	gba_lz77	176	176	0	streams/0271-LAYOUT_RUSTBORO_CITY_DEVON_CORP_3F.lz	
272	LAYOUT_EVER_GRANDE_CITY_POKEMON_LEAGUE_1F	EverGrandeCity_PokemonLeague_1F_Layout	emerald	19	12	456	884	1768	data/layouts/EverGrandeCity_PokemonLeague_1F/map.bin	data/layouts/EverGrandeCity_PokemonLeague_1F/map.bin	aecc5a42619b5b8608a95651b4a313024dc9de3972a508af3c86e1a062df59fb	e4852ee7	456	0	308	1e29d68473807142caa07ee455d67ed8a9cb67c962c0dd0d64e7edac6e5a1b36	c0d31be4	305	3	gba_lz77	308	308	0	streams/0272-LAYOUT_EVER_GRANDE_CITY_POKEMON_LEAGUE_1F.lz	
273	LAYOUT_ROUTE119_WEATHER_INSTITUTE_1F	Route119_WeatherInstitute_1F_Layout	emerald	20	13	520	945	1890	data/layouts/Route119_WeatherInstitute_1F/map.bin	data/layouts/Route119_WeatherInstitute_1F/map.bin	516cc0a30b5be01cd76f13d2b11568760a77a8ab164ce85c87c34f3a2004d24c	a2a79ba6	520	0	264	2e92987b7e1479286aadde196332cf2a67b5463f528cadb9a40b0f41e937c423	574d54a9	262	2	gba_lz77	264	264	0	streams/0273-LAYOUT_ROUTE119_WEATHER_INSTITUTE_1F.lz	
274	LAYOUT_ROUTE119_WEATHER_INSTITUTE_2F	Route119_WeatherInstitute_2F_Layout	emerald	20	11	440	875	1750	data/layouts/Route119_WeatherInstitute_2F/map.bin	data/layouts/Route119_WeatherInstitute_2F/map.bin	438c52bf4383dd812b9d7db04b606d54fb129dc752bfcf54f87b9f02c5bc395f	3c534169	440	0	204	d454538b9e1a064bfedfeee96bf7b8c4cf2742ecc3b676335dd0b97e56dd7037	8d17b277	204	0	gba_lz77	204	204	0	streams/0274-LAYOUT_ROUTE119_WEATHER_INSTITUTE_2F.lz	
275	LAYOUT_LILYCOVE_CITY_DEPARTMENT_STORE_ELEVATOR	LilycoveCity_DepartmentStoreElevator_Layout	emerald	5	6	60	400	800	data/layouts/LilycoveCity_DepartmentStoreElevator/map.bin	data/layouts/LilycoveCity_DepartmentStoreElevator/map.bin	418e18bae2c978758b07de1208ba9cb1445d49c58d6b86488104a4a2da6ff583	c8825163	60	0	48	8fc0b628af71b2736109225a043f5f7a7f8b2a049d35d7080418ae0e16ece169	d19a55a3	47	1	gba_lz77	48	48	0	streams/0275-LAYOUT_LILYCOVE_CITY_DEPARTMENT_STORE_ELEVATOR.lz	
276	LAYOUT_UNDERWATER_ROUTE124	Underwater_Route124_Layout	emerald	80	80	12800	8930	17860	data/layouts/Underwater_Route124/map.bin	data/layouts/Underwater_Route124/map.bin	a2c4197407d5813e8123f8ef1df28b14e29df36e9954128d1ea3acdd49c20156	794aea09	12800	0	1784	28bc169e16309d652848d287283e6663ca94ff8c542b6e8a48001145c441eec9	a4812c47	1783	1	gba_lz77	1784	1784	0	streams/0276-LAYOUT_UNDERWATER_ROUTE124.lz	
277	LAYOUT_MOSSDEEP_CITY_SPACE_CENTER_1F	MossdeepCity_SpaceCenter_1F_Layout	emerald	16	10	320	744	1488	data/layouts/MossdeepCity_SpaceCenter_1F/map.bin	data/layouts/MossdeepCity_SpaceCenter_1F/map.bin	d9835923b2316b3cd7a689aa81e0998a04b42e7aa6fe0228716626d02838cbaa	d7502995	320	0	144	9142d31d4f1ef638d0e41229f9d33b7d13c6e375be41b2787e9d4678e736366f	bc42e0bb	141	3	gba_lz77	144	144	0	streams/0277-LAYOUT_MOSSDEEP_CITY_SPACE_CENTER_1F.lz	
278	LAYOUT_MOSSDEEP_CITY_SPACE_CENTER_2F	MossdeepCity_SpaceCenter_2F_Layout	emerald	16	10	320	744	1488	data/layouts/MossdeepCity_SpaceCenter_2F/map.bin	data/layouts/MossdeepCity_SpaceCenter_2F/map.bin	66185e428181f0ed1a4d17aacda8a773a4ebfa3af2780753648e1624e2e79c77	bfb58b30	320	0	136	b630c116d2183430a512b1a3cd07ab63c2238bb7581c56f0e9ef6b535bade088	c2dae188	134	2	gba_lz77	136	136	0	streams/0278-LAYOUT_MOSSDEEP_CITY_SPACE_CENTER_2F.lz	
279	LAYOUT_SS_TIDAL_CORRIDOR	SSTidalCorridor_Layout	emerald	18	13	468	891	1782	data/layouts/SSTidalCorridor/map.bin	data/layouts/SSTidalCorridor/map.bin	63a22e7e2f9a6d2c8e711aac588ac0315a507029a2b49fc9ebfb1dc380429151	75e13bf4	468	0	148	f9f4b626b812353e6336e894dcdf2694a3a46b4c97ea62aeb27866db2adce71d	28694b9f	145	3	gba_lz77	148	148	0	streams/0279-LAYOUT_SS_TIDAL_CORRIDOR.lz	
280	LAYOUT_SS_TIDAL_LOWER_DECK	SSTidalLowerDeck_Layout	emerald	17	13	442	864	1728	data/layouts/SSTidalLowerDeck/map.bin	data/layouts/SSTidalLowerDeck/map.bin	29b86bcafbae550651398d0e00361fa0b1487941ca9030d0aa241a2955448eda	9edaa0ac	442	0	204	95e05f722fcb5ff158c621300e8c09ac4c5507de26c703f70091850357c16215	215a8a1a	201	3	gba_lz77	204	204	0	streams/0280-LAYOUT_SS_TIDAL_LOWER_DECK.lz	
281	LAYOUT_SS_TIDAL_ROOMS	SSTidalRooms_Layout	emerald	36	18	1296	1632	3264	data/layouts/SSTidalRooms/map.bin	data/layouts/SSTidalRooms/map.bin	1447bda51222eec784c33d54eac9586ef686c561b0173e6f66c34bed6ad73f76	4288b06b	1296	0	424	3e06c93920a5e1b05cf6d7cfc9928df7b187fd8cbf6f6f2e87f070b6f3fa9984	7bc33faf	424	0	gba_lz77	424	424	0	streams/0281-LAYOUT_SS_TIDAL_ROOMS.lz	
282	LAYOUT_ISLAND_CAVE	IslandCave_Layout	emerald	17	33	1122	1504	3008	data/layouts/IslandCave/map.bin	data/layouts/IslandCave/map.bin	c26ef8a803db79d30aa0237f994df45c31f636f27b916cff6423c6193151e4a1	8b33e967	1122	0	292	52f318fa233559c64a0840a57c845941aceeea59b36a658e716214ad04cd1527	aed8b23f	290	2	gba_lz77	292	292	0	streams/0282-LAYOUT_ISLAND_CAVE.lz	
283	LAYOUT_ANCIENT_TOMB	AncientTomb_Layout	emerald	17	33	1122	1504	3008	data/layouts/AncientTomb/map.bin	data/layouts/AncientTomb/map.bin	16274566e3e109fbfb5812bc1c7bc9ebe3633526d07101baf13bf8a18863ff82	eb34b46c	1122	0	292	0231209b7c64adefc4a51d0e9bd41298856b0810b30a0d7732b1026cd3adfa62	5669ab77	291	1	gba_lz77	292	292	0	streams/0283-LAYOUT_ANCIENT_TOMB.lz	
284	LAYOUT_UNDERWATER_ROUTE134	Underwater_Route134_Layout	emerald	18	10	360	792	1584	data/layouts/Underwater_Route134/map.bin	data/layouts/Underwater_Route134/map.bin	cb2f9e740d7c6d6c2fc562dba349189387507b9500564429fa95394b82f33aef	804742d0	360	0	144	d59ada6c56eafc02dc878dd7aad5fe3048fa6231ddf76b20c7d31ca3c140dd3f	a7b0ff12	141	3	gba_lz77	144	144	0	streams/0284-LAYOUT_UNDERWATER_ROUTE134.lz	
285	LAYOUT_UNDERWATER_SEALED_CHAMBER	Underwater_SealedChamber_Layout	emerald	22	48	2112	2294	4588	data/layouts/Underwater_SealedChamber/map.bin	data/layouts/Underwater_SealedChamber/map.bin	72e1629f37040ac778a843398ca5ec3fc4cff163bbbd3256c64f8ed74195c3ff	72af37a1	2112	0	496	b750e52e32bdc54d6639d0159b9746c8f0061a495a082eab1a3387de7840ce12	2aabecb4	496	0	gba_lz77	496	496	0	streams/0285-LAYOUT_UNDERWATER_SEALED_CHAMBER.lz	
286	LAYOUT_SEALED_CHAMBER_OUTER_ROOM	SealedChamber_OuterRoom_Layout	emerald	21	23	966	1332	2664	data/layouts/SealedChamber_OuterRoom/map.bin	data/layouts/SealedChamber_OuterRoom/map.bin	c132019cf35459ee61fef1e4229d20861e9c4a5a0de27168dddc2fd0f17d5497	ead0517b	966	0	216	039bb3f004741c59b502d285f7e82e310cb6d7a27022eca07f251fe8d78f50fd	ddadb3de	215	1	gba_lz77	216	216	0	streams/0286-LAYOUT_SEALED_CHAMBER_OUTER_ROOM.lz	
287	LAYOUT_VICTORY_ROAD_B1F	VictoryRoad_B1F_Layout	emerald	46	31	2852	2745	5490	data/layouts/VictoryRoad_B1F/map.bin	data/layouts/VictoryRoad_B1F/map.bin	574316b10f2989df34eb3a53c3fc4bd946bb0e67bb679e15dfc91997cb47d684	968c2f90	2852	0	736	03fcdbe7b2b019d1f655979b67238b1f01488b02180895e7ac63b62380b19b4f	d61d67d1	735	1	gba_lz77	736	736	0	streams/0287-LAYOUT_VICTORY_ROAD_B1F.lz	
288	LAYOUT_VICTORY_ROAD_B2F	VictoryRoad_B2F_Layout	emerald	46	31	2852	2745	5490	data/layouts/VictoryRoad_B2F/map.bin	data/layouts/VictoryRoad_B2F/map.bin	60f525ef9b6e374604f4dcfd96ef1091b6b9bdaac2b73860b345eb75476c00c0	fa0ba5aa	2852	0	768	c4ad2ae9f0b77c8b9ce509c726d912c23333663d51f319113a60cd6611c598d5	44449f5a	768	0	gba_lz77	768	768	0	streams/0288-LAYOUT_VICTORY_ROAD_B2F.lz	
289	LAYOUT_ROUTE104_PROTOTYPE	Route104_Prototype_Layout	emerald	1	1	2	240	480	data/layouts/Route104_Prototype/map.bin	data/layouts/Route104_Prototype/map.bin	a12871fee210fb8619291eaea194581cbd2531e4b23759d225f6806923f63222	b6cc4292	2	0	8	bb12aaa86cc60c2492d9d698abb2bf87e69cbe07e81518eeb548896d1c32b4bb	bdf2f7de	7	1	raw	2	4	0		
290	LAYOUT_GRANITE_CAVE_STEVENS_ROOM	GraniteCave_StevensRoom_Layout	emerald	15	14	420	840	1680	data/layouts/GraniteCave_StevensRoom/map.bin	data/layouts/GraniteCave_StevensRoom/map.bin	ddf261937693159207733f50eabcbc29a90accc6653a82ebf013701e5774f270	6215df10	420	0	160	886fe2d91f583b57a0badf9bb6511d115727db29115571a7973f9fc184b1c847	0ad7c7d2	158	2	gba_lz77	160	160	2	streams/0290-LAYOUT_GRANITE_CAVE_STEVENS_ROOM.lz	
291	LAYOUT_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS	AbandonedShip_HiddenFloorCorridors_Layout	emerald	13	11	286	700	1400	data/layouts/AbandonedShip_HiddenFloorCorridors/map.bin	data/layouts/AbandonedShip_HiddenFloorCorridors/map.bin	2ff03e7f08ddf34d40a0b8110fe68bc182d16041ed5d25d9788ddc92d24e7026	5de63e43	286	0	156	19ee1f5ae38185c72e5a54c0f1877f45d5f5c23e91b47eaee62f9136b2eb3fde	ea9f66ce	154	2	gba_lz77	156	156	0	streams/0291-LAYOUT_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS.lz	
292	LAYOUT_SOUTHERN_ISLAND_EXTERIOR	SouthernIsland_Exterior_Layout	emerald	33	30	1980	2112	4224	data/layouts/SouthernIsland_Exterior/map.bin	data/layouts/SouthernIsland_Exterior/map.bin	cbc829d4d152ad97f40e7d703b71e0d9c5ac7daf4629e821e1b79da7ff4a0d42	1bb435ea	1980	0	572	270d4c9007a34bfb564f3d45e6d2e7e30b9b69c0b8ca9df05ccb461f962cf06d	5951714f	571	1	gba_lz77	572	572	0	streams/0292-LAYOUT_SOUTHERN_ISLAND_EXTERIOR.lz	
293	LAYOUT_SOUTHERN_ISLAND_INTERIOR	SouthernIsland_Interior_Layout	emerald	27	24	1296	1596	3192	data/layouts/SouthernIsland_Interior/map.bin	data/layouts/SouthernIsland_Interior/map.bin	be8285cee1976fa3850d23c805b9496d44c2fea0dc09f575a02069831b7a2851	151d2d5e	1296	0	336	62b96731d316294a4a6acdc8c6b672d71024110a6965f77565dadfe0c6d9956f	528dec87	336	0	gba_lz77	336	336	0	streams/0293-LAYOUT_SOUTHERN_ISLAND_INTERIOR.lz	
294	LAYOUT_JAGGED_PASS	JaggedPass_Layout	emerald	30	46	2760	2700	5400	data/layouts/JaggedPass/map.bin	data/layouts/JaggedPass/map.bin	912233ef593db8109d90c4777eb65c8171bbfd3d3c7e2d713cb7f2969a35aa15	1d7dc657	2760	0	1024	66f35aeef81a62a0242684c931a2456896867d5d0e22d6d60e49db4f2394df92	8257084d	1021	3	gba_lz77	1024	1024	0	streams/0294-LAYOUT_JAGGED_PASS.lz	
295	LAYOUT_FIERY_PATH	FieryPath_Layout	emerald	35	38	2660	2600	5200	data/layouts/FieryPath/map.bin	data/layouts/FieryPath/map.bin	696e312e961d5b6d7e904a4fdda7be2818a6119f0b21740ed546fdd82d42db16	1215b381	2660	0	608	64453333c774cdc285844ef4822e6057d001f48b731e53b3bbe821f46efcd1c3	bc770562	607	1	gba_lz77	608	608	0	streams/0295-LAYOUT_FIERY_PATH.lz	
296	LAYOUT_RUSTBORO_CITY_FLAT2_1F	RustboroCity_Flat2_1F_Layout	emerald	14	9	252	667	1334	data/layouts/RustboroCity_Flat2_1F/map.bin	data/layouts/RustboroCity_Flat2_1F/map.bin	7d063b5288e6d0cb0178e280a23c5249e2947a25f9d3e4ce766c60fd6cd7514e	162a0e5c	252	0	140	c8d7f282ceee1ef5ca7fad022ff8fd7e2427fba32596aa4b8c6b9dfd0ca711d2	f57711bc	140	0	gba_lz77	140	140	0	streams/0296-LAYOUT_RUSTBORO_CITY_FLAT2_1F.lz	
297	LAYOUT_RUSTBORO_CITY_FLAT2_2F	RustboroCity_Flat2_2F_Layout	emerald	14	9	252	667	1334	data/layouts/RustboroCity_Flat2_2F/map.bin	data/layouts/RustboroCity_Flat2_2F/map.bin	7cf63078b62463c6fe83a911e5c809bb98bfadcce0d080d8bcb24c63640c4490	0c533ae3	252	0	144	7fc5832b28109d6df387bba930c2a069a3b20dfc783a6e49d4b5b311fc9d98de	a7b2eedf	142	2	gba_lz77	144	144	0	streams/0297-LAYOUT_RUSTBORO_CITY_FLAT2_2F.lz	
298	LAYOUT_RUSTBORO_CITY_FLAT2_3F	RustboroCity_Flat2_3F_Layout	emerald	14	9	252	667	1334	data/layouts/RustboroCity_Flat2_3F/map.bin	data/layouts/RustboroCity_Flat2_3F/map.bin	939f571be78b397e58419d33ff5f46b5b58e75ce864d720cdc3503c985082de2	0b3298b0	252	0	152	ba95fafc8715d892c53ea86773f0c6a63ddad9b16d351180ab63aba439e9d17a	615c3786	151	1	gba_lz77	152	152	0	streams/0298-LAYOUT_RUSTBORO_CITY_FLAT2_3F.lz	
299	LAYOUT_SOOTOPOLIS_CITY_LOTAD_AND_SEEDOT_HOUSE	SootopolisCity_LotadAndSeedotHouse_Layout	emerald	8	7	112	483	966	data/layouts/SootopolisCity_LotadAndSeedotHouse/map.bin	data/layouts/SootopolisCity_LotadAndSeedotHouse/map.bin	ebc4bcb55044604367278070a7baa792ed66f89dc2533218aa07d45308b93734	e333eba7	112	0	88	51d4326581eae15112d17a76d34015a9d8c4bc8313423b243b33e974a8c29071	60d90de6	86	2	gba_lz77	88	88	0	streams/0299-LAYOUT_SOOTOPOLIS_CITY_LOTAD_AND_SEEDOT_HOUSE.lz	
300	LAYOUT_EVER_GRANDE_CITY_HALL_OF_FAME	EverGrandeCity_HallOfFame_Layout	emerald	15	17	510	930	1860	data/layouts/EverGrandeCity_HallOfFame/map.bin	data/layouts/EverGrandeCity_HallOfFame/map.bin	f5a19d9e9711f1704f7c06cdafc046fe3001b3e93ff040be8364075556ac4b90	5bf92408	510	0	188	d10fc172c558ad335c5af6a754a9355733147b477eb1e0d18e7b3580d9277002	25e55dce	187	1	gba_lz77	188	188	0	streams/0300-LAYOUT_EVER_GRANDE_CITY_HALL_OF_FAME.lz	
301	LAYOUT_LILYCOVE_CITY_COVE_LILY_MOTEL_1F	LilycoveCity_CoveLilyMotel_1F_Layout	emerald	12	9	216	621	1242	data/layouts/LilycoveCity_CoveLilyMotel_1F/map.bin	data/layouts/LilycoveCity_CoveLilyMotel_1F/map.bin	65cc7a55947afbeb960f77d4aa28b8ac63e8bab01180ed2144fcbfe81e5d1632	125bd25c	216	0	136	8fab76451f1c6483abb32557a43db709b41e4954383875b5a86ec73a66c35ddf	cb947a97	134	2	gba_lz77	136	136	0	streams/0301-LAYOUT_LILYCOVE_CITY_COVE_LILY_MOTEL_1F.lz	
302	LAYOUT_LILYCOVE_CITY_COVE_LILY_MOTEL_2F	LilycoveCity_CoveLilyMotel_2F_Layout	emerald	12	9	216	621	1242	data/layouts/LilycoveCity_CoveLilyMotel_2F/map.bin	data/layouts/LilycoveCity_CoveLilyMotel_2F/map.bin	8d23f95e5c408bf8ab9a16330d20eb216cd161eb09a572d24316f0355068ac62	f8ac611c	216	0	124	26627c4bd1a233c4131f741f062f2d5787f6e97dea20f1da07e3dfb3404fadc1	b435fd79	124	0	gba_lz77	124	124	0	streams/0302-LAYOUT_LILYCOVE_CITY_COVE_LILY_MOTEL_2F.lz	
303	LAYOUT_ROUTE124_DIVING_TREASURE_HUNTERS_HOUSE	Route124_DivingTreasureHuntersHouse_Layout	emerald	10	9	180	575	1150	data/layouts/Route124_DivingTreasureHuntersHouse/map.bin	data/layouts/Route124_DivingTreasureHuntersHouse/map.bin	650cd5d646f2908270faa59dbce390170422bd9118d08076f518c47a26a683ad	713c5002	180	0	124	0f47839eba03b64ad9e8521e8c049476e6c52f7c0e01bbb8da1c535d1d55378f	e501918d	124	0	gba_lz77	124	124	0	streams/0303-LAYOUT_ROUTE124_DIVING_TREASURE_HUNTERS_HOUSE.lz	
304	LAYOUT_MT_PYRE_EXTERIOR	MtPyre_Exterior_Layout	emerald	38	51	3876	3445	6890	data/layouts/MtPyre_Exterior/map.bin	data/layouts/MtPyre_Exterior/map.bin	05ec1b12abdd9f4f3d3890cd50625b8b2b4048c42945c7486758d71c663afe4f	898bc64a	3876	0	1092	351e6937429e24ae37e16baee12ae3477f29aad043fd160b800a449be1ab5c0c	3c331fd5	1089	3	gba_lz77	1092	1092	0	streams/0304-LAYOUT_MT_PYRE_EXTERIOR.lz	
305	LAYOUT_MT_PYRE_SUMMIT	MtPyre_Summit_Layout	emerald	50	37	3700	3315	6630	data/layouts/MtPyre_Summit/map.bin	data/layouts/MtPyre_Summit/map.bin	d67dee1500a9ff2a2bf36747cb911e8c4e5a2956995c98d981757b2548b3175d	811b8fee	3700	0	1004	163a4f950cd7222911bbb89986b822b494231f3aefcfb22a213027aa10580d5d	492b51ee	1001	3	gba_lz77	1004	1004	0	streams/0305-LAYOUT_MT_PYRE_SUMMIT.lz	
306	LAYOUT_SEALED_CHAMBER_INNER_ROOM	SealedChamber_InnerRoom_Layout	emerald	21	23	966	1332	2664	data/layouts/SealedChamber_InnerRoom/map.bin	data/layouts/SealedChamber_InnerRoom/map.bin	5c34046562706be716a55188d89cafe9aeaaa42dcb685da740f2569f5172852a	3a416616	966	0	232	73dcd050aa8e1cd2af63cadff1406b4c7f00f4e81e67fd8bcd56612df5b8c324	a2459f89	230	2	gba_lz77	232	232	0	streams/0306-LAYOUT_SEALED_CHAMBER_INNER_ROOM.lz	
307	LAYOUT_MOSSDEEP_CITY_GAME_CORNER_1F	MossdeepCity_GameCorner_1F_Layout	emerald	12	10	240	648	1296	data/layouts/MossdeepCity_GameCorner_1F/map.bin	data/layouts/MossdeepCity_GameCorner_1F/map.bin	c66808a921334b7b90fb77950e65edfcc7080c6991e4b65cda5778fc5a3bf5d6	591ad736	240	0	156	da063d46027058ee4f9b982aad6bd9058c7c58428d2ef9ac9577efc87aa508f9	8be780cd	153	3	gba_lz77	156	156	0	streams/0307-LAYOUT_MOSSDEEP_CITY_GAME_CORNER_1F.lz	
308	LAYOUT_MOSSDEEP_CITY_GAME_CORNER_B1F	MossdeepCity_GameCorner_B1F_Layout	emerald	12	9	216	621	1242	data/layouts/MossdeepCity_GameCorner_B1F/map.bin	data/layouts/MossdeepCity_GameCorner_B1F/map.bin	80ace146bc917a159b294a8943beb9793c1b14ab52821c0bdc221a862cfa2f8c	25fa3d06	216	0	100	bedc12d002386b7d0a2713e78ba3ba9ce39c42d5d136e3808cfed750b6b096e2	300d1e83	97	3	gba_lz77	100	100	0	streams/0308-LAYOUT_MOSSDEEP_CITY_GAME_CORNER_B1F.lz	
309	LAYOUT_SOOTOPOLIS_CITY_HOUSE1	SootopolisCity_House1_Layout	emerald	8	7	112	483	966	data/layouts/SootopolisCity_House1/map.bin	data/layouts/SootopolisCity_House1/map.bin	8432e7b1ffccad18ca30b8aa9a576ea01e8ce3cbf02647c00428dc0a8b345e39	09defa79	112	0	76	29279614d407c64fd1b21b328040bcb7018858f9d19d93b5119ae056ed75d3c9	31485c77	74	2	gba_lz77	76	76	0	streams/0309-LAYOUT_SOOTOPOLIS_CITY_HOUSE1.lz	
310	LAYOUT_SOOTOPOLIS_CITY_HOUSE2	SootopolisCity_House2_Layout	emerald	8	7	112	483	966	data/layouts/SootopolisCity_House2/map.bin	data/layouts/SootopolisCity_House2/map.bin	4bf6de0329a2959bb9ed7eb1b5a5adb9e7be18d6aa1b03cfd667ad1b34594ed9	92b328eb	112	0	92	e18bf97620ba59f7fdcb9b5607437d71cc921b3402cfc78a4e9e7b67703240ce	5bdf871e	92	0	gba_lz77	92	92	0	streams/0310-LAYOUT_SOOTOPOLIS_CITY_HOUSE2.lz	
311	LAYOUT_SOOTOPOLIS_CITY_HOUSE3	SootopolisCity_House3_Layout	emerald	8	7	112	483	966	data/layouts/SootopolisCity_House3/map.bin	data/layouts/SootopolisCity_House3/map.bin	05a2c8c623e3fb1993168ee2124a6928ffc1b46858b488f5014a5f4081b70e24	fb5c5062	112	0	76	b68e5f752cd5728e224cc20fbbec007f192372ba6b5549fb62319ae4a60c093c	a7834d51	76	0	gba_lz77	76	76	0	streams/0311-LAYOUT_SOOTOPOLIS_CITY_HOUSE3.lz	
312	LAYOUT_ABANDONED_SHIP_HIDDEN_FLOOR_ROOMS	AbandonedShip_HiddenFloorRooms_Layout	emerald	44	15	1320	1711	3422	data/layouts/AbandonedShip_HiddenFloorRooms/map.bin	data/layouts/AbandonedShip_HiddenFloorRooms/map.bin	9fafed7ca011dc0a2cdfad7675efcce9952d5c68db6544f401799d134ea03b95	e2bf2607	1320	0	340	47fb57c65f5bb416458cdbb6ff0c0b511b1ace39b0b77a598ef0473ae49be4ad	18ec30e3	338	2	gba_lz77	340	340	0	streams/0312-LAYOUT_ABANDONED_SHIP_HIDDEN_FLOOR_ROOMS.lz	
313	LAYOUT_SCORCHED_SLAB	ScorchedSlab_Layout	emerald	15	20	600	1020	2040	data/layouts/ScorchedSlab/map.bin	data/layouts/ScorchedSlab/map.bin	26bf30dd2b18a0e4ff8f78be0d29820219cfb0d48a00d91665f5b6953a6fa292	68b21437	600	0	168	fc05c9af5438f9e5f4998844534d05030bc6afbec3259b96783258a965671f45	5f8551ae	166	2	gba_lz77	168	168	0	streams/0313-LAYOUT_SCORCHED_SLAB.lz	
314	LAYOUT_CAVE_OF_ORIGIN_UNUSED_B4F_LAVA	CaveOfOrigin_Unused_B4F_Lava_Layout	emerald	19	19	722	1122	2244	data/layouts/CaveOfOrigin_Unused_B4F_Lava/map.bin	data/layouts/CaveOfOrigin_Unused_B4F_Lava/map.bin	7b44f7e295c29bd937677beb78599a4501bb7dfdad5bfc95abf790351c4312cd	63582cc2	724	2	264	5a117e90f63372b50ae314752d33cbcb7bea1245bebc8f34821d181c4f3c484d	e7c06d66	262	2	gba_lz77	264	264	0	streams/0314-LAYOUT_CAVE_OF_ORIGIN_UNUSED_B4F_LAVA.lz	
315	LAYOUT_RUSTBORO_CITY_FLAT1_1F	RustboroCity_Flat1_1F_Layout	emerald	14	8	224	638	1276	data/layouts/RustboroCity_Flat1_1F/map.bin	data/layouts/RustboroCity_Flat1_1F/map.bin	a2237e1dfee75acdccc02ce06fb4a110303011aacabd7b2c9d4b631fce5aa08b	f57d34db	224	0	140	a4a5aa1403aebe9bf5c849edd01d3b7cb0d41fb4ec6018f1e95a942b3b9644b0	ce5d1f24	138	2	gba_lz77	140	140	0	streams/0315-LAYOUT_RUSTBORO_CITY_FLAT1_1F.lz	
316	LAYOUT_RUSTBORO_CITY_FLAT1_2F	RustboroCity_Flat1_2F_Layout	emerald	14	8	224	638	1276	data/layouts/RustboroCity_Flat1_2F/map.bin	data/layouts/RustboroCity_Flat1_2F/map.bin	f2006d5515f83347697f074ac3020583c98d0c219c84c6e593b9d2a309805f61	325e36a1	224	0	148	fff53a5e4b6b7f6bd7f63e53f2e22f204c86f535040173130cfd0c91fcccbb99	e8214710	147	1	gba_lz77	148	148	0	streams/0316-LAYOUT_RUSTBORO_CITY_FLAT1_2F.lz	
317	LAYOUT_EVER_GRANDE_CITY_HALL4	EverGrandeCity_Hall4_Layout	emerald	11	34	748	1248	2496	data/layouts/EverGrandeCity_Hall4/map.bin	data/layouts/EverGrandeCity_Hall4/map.bin	a1efb6f7d1cf1a53b55f3813e784b9ee43f0fdce65889641197a20eb37fc79bf	872302d7	748	0	164	cc7f809c567538473dbfd5ecf0a18c11dbc0d8bf15e3b305c5cf81e9f89920ff	fb51e290	164	0	gba_lz77	164	164	0	streams/0317-LAYOUT_EVER_GRANDE_CITY_HALL4.lz	
318	LAYOUT_AQUA_HIDEOUT_UNUSED_RUBY_MAP1	AquaHideout_UnusedRubyMap1_Layout	emerald	28	30	1680	1892	3784	data/layouts/AquaHideout_UnusedRubyMap1/map.bin	data/layouts/AquaHideout_UnusedRubyMap1/map.bin	35086c363c4e3572ac613b1bd52bb54c46c73f72de7979b04eae8ecd83520092	9084a76e	1680	0	584	f4c8ae03aa741aaa82eafbeb80f09c3f53661d20cebdde222fb56deca51b6c3c	e712fd9d	582	2	gba_lz77	584	584	0	streams/0318-LAYOUT_AQUA_HIDEOUT_UNUSED_RUBY_MAP1.lz	
